100,Pulp Fiction,178,accion,9.2,1
101,Titanic,194,romance,8.9,11
102,The Trial of the Chicago 7,129,drama,8.9,0
103,Forrest Gump,142,comedia,9.3,6
104,Ford vs Ferrari,152,Accion,9.6,2
105,The Greatest Showman,106,musical,9.3,0
106,Madagascar,86,comedia,8.9,0
107,The Truman Show,103,ficcion,9.5,0
108,Godzilla vs. Kong,113,accion,6.5,0
109,Interestellar,169,ficcion,8.6,1
110,Shrek,92,Aventura,8.7,1
111,Zootopia,110,Aventura,8,1
112,Shrek 2,93,Aventura,9,0
113,Star Wars Episodio 3,140,Ciencia Ficcion,7.5,0
114,La La Land,128,musical,9.1,6
115,Crazy Rich Asians ,121,Romance,9.1,0
116,Bob Esponja: La película,87,comedia,7,0
117,Avengers: Endgame,182,Ciencia Ficcion,9.4,0
118,Raya y el último dragón ,117,Fantasía ,7.5,0
119,El padre de la novia,105,comedia,8.9,0
120,El padre de la novia 2,106,comedia,9.1,0
121,Hacksaw Ridge ,139,Drama,8.5,2
122,Matrix,136,ficcion,9,4
123,Catch me if you can ,141,misterio,9.5,0
124,School of Rock,109,comedia,10,0
125,The Notebook,124,Romance,7.8,0
126,Forrest Gump,142,Drama,8.8,5
127,Jojo Rabbit,108,comedia,7.9,1
128,The big Lebowski,119,comedia,8.1,0
129,Lord of the Rings: The return of the King,251,aventura,8.9,11
130,Captain Fantastic,119,comedia,7.9,0
131,La teoría del todo,124,drama,7.7,1
132,Arrival,118,Ciencia Ficcion,9.4,1
133,Capitán Phillips,134,Drama,7.8,0
134,Inception,162,Accion,9.4,4